	Heater Time	Heater 6 	Heater 7	Heater 8	Heater 9	Heater 10	Heater 11	Heater 12	Heater 13	Heater 14	Heater 15	Heater 16	Heater 17	Program Time	MFC 1	MFC Time	Cycles Remaining	Recipe	Loop
	304.3	200.0	199.1	200.0	200.0	36.2	55.3	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766268.8	29.938	306.091	185	Thermal Al2O3 STANDARD	
	308.3	200.0	199.1	200.0	200.1	36.2	55.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766271.8	29.926	309.091	185	Thermal Al2O3 STANDARD	
	310.3	200.0	199.1	200.0	200.1	36.2	55.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766274.8	29.907	312.091	185	Thermal Al2O3 STANDARD	
	314.3	200.0	199.1	199.9	200.1	36.2	55.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766277.8	29.919	315.091	185	Thermal Al2O3 STANDARD	
	316.3	200.0	199.2	199.9	200.1	36.2	55.1	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766280.8	29.883	318.090	185	Thermal Al2O3 STANDARD	
	320.3	199.9	199.1	199.9	200.1	36.2	55.1	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766283.8	29.907	321.091	185	Thermal Al2O3 STANDARD	
	322.3	199.9	199.1	200.0	200.1	36.2	55.1	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766286.8	29.907	324.091	185	Thermal Al2O3 STANDARD	
	326.3	199.9	199.1	200.0	200.1	36.2	55.0	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766289.8	29.840	327.091	185	Thermal Al2O3 STANDARD	
	328.3	200.0	199.1	199.9	200.1	36.2	55.0	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766292.8	29.895	330.091	185	Thermal Al2O3 STANDARD	
	332.3	199.9	199.1	199.9	200.1	36.1	55.0	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766295.8	29.865	333.091	185	Thermal Al2O3 STANDARD	
	334.3	199.9	199.2	199.9	200.1	36.2	55.1	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766298.8	29.907	336.090	185	Thermal Al2O3 STANDARD	
	338.3	199.9	199.1	199.9	200.1	36.2	54.9	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766301.8	29.919	339.090	185	Thermal Al2O3 STANDARD	
	340.3	200.0	199.2	199.9	200.1	36.2	54.9	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766304.8	29.950	342.091	184	Thermal Al2O3 STANDARD	
	344.3	199.9	199.2	199.9	200.1	36.2	54.9	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766307.8	29.877	345.091	184	Thermal Al2O3 STANDARD	
	346.3	199.9	199.2	199.9	200.1	36.2	54.9	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766310.8	29.944	348.091	184	Thermal Al2O3 STANDARD	
	350.3	199.9	199.2	199.9	200.1	36.2	54.8	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766313.8	29.865	351.091	184	Thermal Al2O3 STANDARD	
	352.3	200.0	199.2	200.0	200.1	36.2	54.8	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766316.8	29.846	354.090	184	Thermal Al2O3 STANDARD	
	356.3	199.9	199.2	199.9	200.1	36.2	54.8	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766319.8	29.877	357.090	184	Thermal Al2O3 STANDARD	
	358.3	200.0	199.2	199.9	200.1	36.2	54.7	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766322.8	29.919	360.091	184	Thermal Al2O3 STANDARD	
	362.3	200.0	199.2	200.0	200.1	36.2	54.7	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766325.8	29.919	363.091	183	Thermal Al2O3 STANDARD	
	364.3	199.9	199.2	199.9	200.1	36.2	54.7	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766328.8	29.956	366.091	183	Thermal Al2O3 STANDARD	
	368.3	199.9	199.2	199.9	200.0	36.2	54.7	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766331.8	29.932	369.091	183	Thermal Al2O3 STANDARD	
	370.3	199.9	199.2	199.9	200.2	36.2	54.7	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766334.8	29.889	372.090	183	Thermal Al2O3 STANDARD	
	374.3	200.0	199.3	200.0	200.1	36.2	54.6	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766337.8	29.907	375.090	183	Thermal Al2O3 STANDARD	
	376.3	199.9	199.2	199.9	200.1	36.2	54.6	27.4	 0.0	 0.0	28.0	 0.0	 0.0	766340.8	29.883	378.091	183	Thermal Al2O3 STANDARD	
	380.3	200.0	199.3	200.0	200.1	36.2	54.6	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766343.8	29.919	381.091	183	Thermal Al2O3 STANDARD	
	382.3	200.0	199.3	199.9	200.1	36.2	54.6	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766346.8	29.932	384.092	182	Thermal Al2O3 STANDARD	
	386.3	199.9	199.3	199.9	200.1	36.2	54.5	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766349.8	29.858	387.091	182	Thermal Al2O3 STANDARD	
	388.3	199.8	199.3	199.9	200.0	36.2	54.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766352.8	29.907	390.090	182	Thermal Al2O3 STANDARD	
	392.3	200.0	199.4	200.0	200.1	36.2	54.5	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766355.8	29.907	393.090	182	Thermal Al2O3 STANDARD	
	394.3	199.9	199.3	199.9	200.1	36.2	54.5	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766358.8	29.913	396.091	182	Thermal Al2O3 STANDARD	
	398.3	199.9	199.3	200.0	200.1	36.2	54.4	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766361.8	29.913	399.091	182	Thermal Al2O3 STANDARD	
	400.3	200.0	199.4	200.1	200.4	36.3	54.6	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766364.8	29.932	402.091	182	Thermal Al2O3 STANDARD	
	404.3	200.0	199.4	200.0	200.1	36.2	54.4	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766367.8	29.919	405.091	181	Thermal Al2O3 STANDARD	
	406.3	200.0	199.4	199.9	200.1	36.1	54.4	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766370.8	29.926	408.090	181	Thermal Al2O3 STANDARD	
	410.3	199.9	199.4	200.0	200.1	36.2	54.3	27.4	 0.0	 0.0	28.1	 0.0	 0.0	766373.8	29.883	411.091	181	Thermal Al2O3 STANDARD	
	412.3	199.9	199.5	200.0	200.1	36.2	54.3	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766376.8	29.907	414.091	181	Thermal Al2O3 STANDARD	
	416.3	200.0	199.5	199.9	200.1	36.1	54.3	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766379.8	29.877	417.091	181	Thermal Al2O3 STANDARD	
	418.3	200.0	199.4	199.9	200.2	36.1	54.3	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766382.8	29.907	420.091	181	Thermal Al2O3 STANDARD	
	422.3	200.0	199.5	200.0	200.1	36.1	54.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766385.8	29.944	423.091	181	Thermal Al2O3 STANDARD	
	424.3	199.9	199.4	200.0	200.1	36.1	54.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766388.8	29.846	426.090	180	Thermal Al2O3 STANDARD	
